year,state,population,unemployment rates,population_rate
2015,Alabama,4858979,6.125,
2016,Alabama,4863300,5.908333333,0.088928147
2017,Alabama,4874747,4.508333333,0.235375157
2018,Alabama,4887871,3.941666667,0.269224228
2019,Alabama,4903185,3.183333333,0.313306141
2021,Alabama,5039877,3.375,2.78782057
2022,Alabama,5074296,2.516666667,0.682933333
2023,Alabama,5108468,2.491666667,0.67343332
2015,Alaska,738432,6.275,
2016,Alaska,741894,6.6,0.468831253
2017,Alaska,739795,6.508333333,-0.282924515
2018,Alaska,737438,6.041666667,-0.318601775
2019,Alaska,731545,5.608333333,-0.799118028
2021,Alaska,732673,6.383333333,0.154194205
2022,Alaska,733583,4.233333333,0.124202748
2023,Alaska,733406,4.216666667,-0.024128149
2015,Arizona,6828065,6.075,
2016,Arizona,6931071,5.483333333,1.508567947
2017,Arizona,7016270,4.975,1.229232827
2018,Arizona,7171646,4.808333333,2.214509989
2019,Arizona,7278717,4.808333333,1.492976647
2021,Arizona,7276316,5.066666667,-0.032986583
2022,Arizona,7359197,3.775,1.139051685
2023,Arizona,7431344,3.908333333,0.980365113
2015,Arkansas,2978204,4.95,
2016,Arkansas,2988248,3.983333333,0.337250235
2017,Arkansas,3004279,3.741666667,0.536468191
2018,Arkansas,3013825,3.658333333,0.317746787
2019,Arkansas,3017804,3.491666667,0.132024919
2021,Arkansas,3025891,4.041666667,0.267976317
2022,Arkansas,3045637,3.208333333,0.65256812
2023,Arkansas,3067732,3.225,0.725464
2015,California,39144818,6.225,
2016,California,39250017,5.516666667,0.268743107
2017,California,39536653,4.833333333,0.730282486
2018,California,39557045,4.258333333,0.051577456
2019,California,39512223,4.1,-0.113309778
2021,California,39237836,7.325,-0.694435745
2022,California,39029342,4.275,-0.531359579
2023,California,38965193,4.741666667,-0.164360957
2015,Colorado,5456574,3.741666667,
2016,Colorado,5540545,3.133333333,1.538896018
2017,Colorado,5607154,2.608333333,1.202210252
2018,Colorado,5695564,3.05,1.57673572
2019,Colorado,5758736,2.666666667,1.109143888
2021,Colorado,5812069,5.483333333,0.926123372
2022,Colorado,5839926,3.066666667,0.479295755
2023,Colorado,5877610,3.15,0.645282149
2015,Connecticut,3590886,5.616666667,
2016,Connecticut,3576452,4.866666667,-0.401962078
2017,Connecticut,3588184,4.416666667,0.3280346
2018,Connecticut,3572665,3.883333333,-0.432502904
2019,Connecticut,3565287,3.591666667,-0.206512505
2021,Connecticut,3605597,6.383333333,1.130624267
2022,Connecticut,3626205,4.091666667,0.571555834
2023,Connecticut,3617176,3.708333333,-0.248993093
2015,Delaware,945934,4.791666667,
2016,Delaware,952065,4.525,0.648142471
2017,Delaware,961939,4.466666667,1.037114063
2019,Delaware,973764,3.55,1.229287928
2021,Delaware,1003384,5.475,3.04180479
2022,Delaware,1018396,4.233333333,1.496137072
2023,Delaware,1031890,3.983333333,1.325024843
2015,Florida,20271272,5.525,
2016,Florida,20612439,4.916666667,1.683007361
2017,Florida,20984400,4.3,1.804546274
2018,Florida,21299325,3.65,1.500757706
2019,Florida,21477737,3.25,0.837641568
2021,Florida,21781128,4.691666667,1.412583644
2022,Florida,22244823,2.991666667,2.128884234
2023,Florida,22610726,2.908333333,1.644890589
2015,Georgia,10214860,6.075,
2016,Georgia,10310371,5.466666667,0.935020157
2017,Georgia,10429379,4.758333333,1.154255264
2018,Georgia,10519475,4,0.86386735
2019,Georgia,10617423,3.575,0.931111106
2021,Georgia,10799566,3.933333333,1.71551044
2022,Georgia,10912876,3.141666667,1.049208829
2023,Georgia,11029227,3.2,1.066180904
2015,Hawaii,1431603,3.416666667,
2016,Hawaii,1428557,2.891666667,-0.212768484
2017,Hawaii,1427538,2.216666667,-0.07133072
2018,Hawaii,1420491,2.408333333,-0.493647104
2019,Hawaii,1415872,2.516666667,-0.325169255
2021,Hawaii,1441553,5.958333333,1.813793902
2022,Hawaii,1440196,3.258333333,-0.09413459
2023,Hawaii,1435138,2.933333333,-0.351202197
2015,Idaho,1654930,3.866666667,
2016,Idaho,1683140,3.675,1.70460382
2017,Idaho,1716943,3.216666667,2.00832967
2018,Idaho,1754208,2.875,2.170427323
2019,Idaho,1787065,2.883333333,1.873039001
2021,Idaho,1900923,3.55,6.371228803
2022,Idaho,1939033,2.841666667,2.004815555
2023,Idaho,1964726,3.083333333,1.325041915
2015,Illinois,12859995,5.991666667,
2016,Illinois,12801539,5.883333333,-0.454556942
2017,Illinois,12802023,4.95,0.003780795
2018,Illinois,12741080,4.4,-0.476041951
2019,Illinois,12671821,3.966666667,-0.543588142
2021,Illinois,12671469,6.1,-0.002777817
2022,Illinois,12582032,4.566666667,-0.705813983
2023,Illinois,12549689,4.458333333,-0.257057048
2015,Indiana,6619680,4.783333333,
2016,Indiana,6633053,4.366666667,0.202018829
2017,Indiana,6666818,3.491666667,0.509041613
2018,Indiana,6691878,3.433333333,0.375891467
2019,Indiana,6732219,3.308333333,0.602835258
2021,Indiana,6805985,3.916666667,1.095715989
2022,Indiana,6833037,3.066666667,0.397473694
2023,Indiana,6862199,3.341666667,0.426779483
2015,Iowa,3123899,3.691666667,
2016,Iowa,3134693,3.575,0.345529737
2017,Iowa,3145711,3.058333333,0.351485775
2018,Iowa,3156145,2.575,0.33168972
2019,Iowa,3155070,2.658333333,-0.034060539
2021,Iowa,3193079,3.85,1.204695934
2022,Iowa,3200517,2.808333333,0.232941308
2023,Iowa,3207004,2.958333333,0.202686004
2015,Kansas,2911641,4.15,
2016,Kansas,2907289,4.016666667,-0.149468976
2017,Kansas,2913123,3.616666667,0.200668045
2018,Kansas,2911510,3.358333333,-0.05537013
2019,Kansas,2913314,3.158333333,0.061960976
2021,Kansas,2934582,3.35,0.730027728
2022,Kansas,2937150,2.625,0.087508204
2023,Kansas,2940547,2.65,0.115656334
2015,Kentucky,4425092,5.233333333,
2016,Kentucky,4436974,5.033333333,0.268514191
2017,Kentucky,4454189,4.775,0.387989652
2018,Kentucky,4468402,4.2,0.319092881
2019,Kentucky,4467673,4.091666667,-0.016314557
2021,Kentucky,4509394,4.466666667,0.933841846
2022,Kentucky,4512310,4.025,0.064665008
2023,Kentucky,4526154,4.158333333,0.306805162
2015,Louisiana,4670724,6.291666667,
2016,Louisiana,4681666,6.066666667,0.234267749
2017,Louisiana,4684333,5.108333333,0.0569669
2018,Louisiana,4659978,4.825,-0.519924608
2019,Louisiana,4648794,4.625,-0.240001133
2021,Louisiana,4624047,5.6,-0.532331611
2022,Louisiana,4590241,3.633333333,-0.731091185
2023,Louisiana,4573749,3.641666667,-0.359283968
2015,Maine,1329328,4.383333333,
2016,Maine,1331479,3.775,0.16181108
2017,Maine,1335907,3.358333333,0.332562511
2018,Maine,1338404,3.175,0.186914209
2019,Maine,1344212,2.908333333,0.433949689
2021,Maine,1372247,4.666666667,2.08560852
2022,Maine,1385340,2.85,0.954128521
2023,Maine,1395722,2.833333333,0.749418915
2015,Maryland,6006401,4.991666667,
2016,Maryland,6016447,4.291666667,0.1672549
2017,Maryland,6052177,4,0.593872098
2018,Maryland,6042718,3.816666667,-0.156290869
2019,Maryland,6045680,3.375,0.049017677
2021,Maryland,6165129,5.225,1.975774437
2022,Maryland,6164660,2.983333333,-0.007607302
2023,Maryland,6180253,2.1,0.252941768
2015,Massachusetts,6794422,4.791666667,
2016,Massachusetts,6811779,4.041666667,0.255459552
2017,Massachusetts,6859819,3.791666667,0.705248952
2018,Massachusetts,6902149,3.475,0.617071675
2019,Massachusetts,6892503,3.025,-0.139753575
2021,Massachusetts,6984723,5.4,1.337975479
2022,Massachusetts,6981974,3.658333333,-0.039357323
