year,state,,population,,unemployment rates
2015,Alabama,,4858979,,6.125
2016,Alabama,,4863300,,5.908333333
2017,Alabama,,4874747,,4.508333333
2018,Alabama,,4887871,,3.941666667
2019,Alabama,,4903185,,3.183333333
2021,Alabama,,5039877,,3.375
2022,Alabama,,5074296,,2.516666667
2023,Alabama,,5108468,,2.491666667
2015,Alaska,,738432,,6.275
2016,Alaska,,741894,,6.6
2017,Alaska,,739795,,6.508333333
2018,Alaska,,737438,,6.041666667
2019,Alaska,,731545,,5.608333333
2021,Alaska,,732673,,6.383333333
2022,Alaska,,733583,,4.233333333
2023,Alaska,,733406,,4.216666667
2015,Arizona,,6828065,,6.075
2016,Arizona,,6931071,,5.483333333
2017,Arizona,,7016270,,4.975
2018,Arizona,,7171646,,4.808333333
2019,Arizona,,7278717,,4.808333333
2021,Arizona,,7276316,,5.066666667
2022,Arizona,,7359197,,3.775
2023,Arizona,,7431344,,3.908333333
2015,Arkansas,,2978204,,4.95
2016,Arkansas,,2988248,,3.983333333
2017,Arkansas,,3004279,,3.741666667
2018,Arkansas,,3013825,,3.658333333
2019,Arkansas,,3017804,,3.491666667
2021,Arkansas,,3025891,,4.041666667
2022,Arkansas,,3045637,,3.208333333
2023,Arkansas,,3067732,,3.225
2015,California,,39144818,,6.225
2016,California,,39250017,,5.516666667
2017,California,,39536653,,4.833333333
2018,California,,39557045,,4.258333333
2019,California,,39512223,,4.1
2021,California,,39237836,,7.325
2022,California,,39029342,,4.275
2023,California,,38965193,,4.741666667
2015,Colorado,,5456574,,3.741666667
2016,Colorado,,5540545,,3.133333333
2017,Colorado,,5607154,,2.608333333
2018,Colorado,,5695564,,3.05
2019,Colorado,,5758736,,2.666666667
2021,Colorado,,5812069,,5.483333333
2022,Colorado,,5839926,,3.066666667
2023,Colorado,,5877610,,3.15
2015,Connecticut,,3590886,,5.616666667
2016,Connecticut,,3576452,,4.866666667
2017,Connecticut,,3588184,,4.416666667
2018,Connecticut,,3572665,,3.883333333
2019,Connecticut,,3565287,,3.591666667
2021,Connecticut,,3605597,,6.383333333
2022,Connecticut,,3626205,,4.091666667
2023,Connecticut,,3617176,,3.708333333
2015,Delaware,,945934,,4.791666667
2016,Delaware,,952065,,4.525
2017,Delaware,,961939,,4.466666667
2019,Delaware,,973764,,3.55
2021,Delaware,,1003384,,5.475
2022,Delaware,,1018396,,4.233333333
2023,Delaware,,1031890,,3.983333333
2015,Florida,,20271272,,5.525
2016,Florida,,20612439,,4.916666667
2017,Florida,,20984400,,4.3
2018,Florida,,21299325,,3.65
2019,Florida,,21477737,,3.25
2021,Florida,,21781128,,4.691666667
2022,Florida,,22244823,,2.991666667
2023,Florida,,22610726,,2.908333333
2015,Georgia,,10214860,,6.075
2016,Georgia,,10310371,,5.466666667
2017,Georgia,,10429379,,4.758333333
2018,Georgia,,10519475,,4
2019,Georgia,,10617423,,3.575
2021,Georgia,,10799566,,3.933333333
2022,Georgia,,10912876,,3.141666667
2023,Georgia,,11029227,,3.2
2015,Hawaii,,1431603,,3.416666667
2016,Hawaii,,1428557,,2.891666667
2017,Hawaii,,1427538,,2.216666667
2018,Hawaii,,1420491,,2.408333333
2019,Hawaii,,1415872,,2.516666667
2021,Hawaii,,1441553,,5.958333333
2022,Hawaii,,1440196,,3.258333333
2023,Hawaii,,1435138,,2.933333333
2015,Idaho,,1654930,,3.866666667
2016,Idaho,,1683140,,3.675
2017,Idaho,,1716943,,3.216666667
2018,Idaho,,1754208,,2.875
2019,Idaho,,1787065,,2.883333333
2021,Idaho,,1900923,,3.55
2022,Idaho,,1939033,,2.841666667
2023,Idaho,,1964726,,3.083333333
2015,Illinois,,12859995,,5.991666667
2016,Illinois,,12801539,,5.883333333
2017,Illinois,,12802023,,4.95
2018,Illinois,,12741080,,4.4
2019,Illinois,,12671821,,3.966666667
2021,Illinois,,12671469,,6.1
2022,Illinois,,12582032,,4.566666667
2023,Illinois,,12549689,,4.458333333
2015,Indiana,,6619680,,4.783333333
2016,Indiana,,6633053,,4.366666667
2017,Indiana,,6666818,,3.491666667
2018,Indiana,,6691878,,3.433333333
2019,Indiana,,6732219,,3.308333333
2021,Indiana,,6805985,,3.916666667
2022,Indiana,,6833037,,3.066666667
2023,Indiana,,6862199,,3.341666667
2015,Iowa,,3123899,,3.691666667
2016,Iowa,,3134693,,3.575
2017,Iowa,,3145711,,3.058333333
2018,Iowa,,3156145,,2.575
2019,Iowa,,3155070,,2.658333333
2021,Iowa,,3193079,,3.85
2022,Iowa,,3200517,,2.808333333
2023,Iowa,,3207004,,2.958333333
2015,Kansas,,2911641,,4.15
2016,Kansas,,2907289,,4.016666667
2017,Kansas,,2913123,,3.616666667
2018,Kansas,,2911510,,3.358333333
2019,Kansas,,2913314,,3.158333333
2021,Kansas,,2934582,,3.35
2022,Kansas,,2937150,,2.625
2023,Kansas,,2940547,,2.65
2015,Kentucky,,4425092,,5.233333333
2016,Kentucky,,4436974,,5.033333333
2017,Kentucky,,4454189,,4.775
2018,Kentucky,,4468402,,4.2
2019,Kentucky,,4467673,,4.091666667
2021,Kentucky,,4509394,,4.466666667
2022,Kentucky,,4512310,,4.025
2023,Kentucky,,4526154,,4.158333333
2015,Louisiana,,4670724,,6.291666667
2016,Louisiana,,4681666,,6.066666667
2017,Louisiana,,4684333,,5.108333333
2018,Louisiana,,4659978,,4.825
2019,Louisiana,,4648794,,4.625
2021,Louisiana,,4624047,,5.6
2022,Louisiana,,4590241,,3.633333333
2023,Louisiana,,4573749,,3.641666667
2015,Maine,,1329328,,4.383333333
2016,Maine,,1331479,,3.775
2017,Maine,,1335907,,3.358333333
2018,Maine,,1338404,,3.175
2019,Maine,,1344212,,2.908333333
2021,Maine,,1372247,,4.666666667
2022,Maine,,1385340,,2.85
2023,Maine,,1395722,,2.833333333
2015,Maryland,,6006401,,4.991666667
2016,Maryland,,6016447,,4.291666667
2017,Maryland,,6052177,,4
2018,Maryland,,6042718,,3.816666667
2019,Maryland,,6045680,,3.375
2021,Maryland,,6165129,,5.225
2022,Maryland,,6164660,,2.983333333
2023,Maryland,,6180253,,2.1
2015,Massachusetts,,6794422,,4.791666667
2016,Massachusetts,,6811779,,4.041666667
2017,Massachusetts,,6859819,,3.791666667
2018,Massachusetts,,6902149,,3.475
2019,Massachusetts,,6892503,,3.025
2021,Massachusetts,,6984723,,5.4
2022,Massachusetts,,6981974,,3.658333333
2023,Massachusetts,,7001399,,3.341666667
2015,Michigan,,9922576,,5.425
2016,Michigan,,9928300,,5.008333333
2017,Michigan,,9962311,,4.575
2018,Michigan,,9995915,,4.158333333
2019,Michigan,,9986857,,4.05
2021,Michigan,,10050811,,5.766666667
2022,Michigan,,10034118,,4.133333333
2023,Michigan,,10037261,,3.891666667
2015,Minnesota,,5489594,,3.791666667
2016,Minnesota,,5519952,,3.875
2017,Minnesota,,5576606,,3.483333333
2018,Minnesota,,5611179,,3.025
2019,Minnesota,,5639632,,3.275
2021,Minnesota,,5707390,,3.7
2022,Minnesota,,5717184,,2.533333333
2023,Minnesota,,5737915,,2.825
2015,Mississippi,,2992333,,6.483333333
2016,Mississippi,,2988726,,5.966666667
2017,Mississippi,,2984100,,5.233333333
2018,Mississippi,,2986530,,4.958333333
2019,Mississippi,,2976149,,5.5
2021,Mississippi,,2949965,,5.458333333
2022,Mississippi,,2940057,,3.783333333
2023,Mississippi,,2939690,,3.2
2015,Missouri,,6083672,,5.108333333
2016,Missouri,,6093000,,4.55
2017,Missouri,,6113532,,3.741666667
2018,Missouri,,6126452,,3.241666667
2019,Missouri,,6137428,,3.25
2021,Missouri,,6168187,,4.141666667
2022,Missouri,,6177957,,2.6
2023,Missouri,,6196156,,3.058333333
2015,Montana,,1032949,,4.291666667
2016,Montana,,1042520,,4.325
2017,Montana,,1050493,,4.091666667
2018,Montana,,1062305,,3.75
2019,Montana,,1068778,,3.5
2021,Montana,,1104271,,3.4
2022,Montana,,1122867,,2.683333333
2023,Montana,,1132812,,2.858333333
2015,Nebraska,,1896190,,2.983333333
2016,Nebraska,,1907116,,3.066666667
2018,Nebraska,,1929268,,2.925
2019,Nebraska,,1934408,,3.125
2021,Nebraska,,1963692,,2.583333333
2022,Nebraska,,1967923,,2.141666667
2023,Nebraska,,1978379,,2.266666667
2015,Nevada,,2890845,,6.85
2016,Nevada,,2940058,,5.808333333
2017,Nevada,,2998039,,4.983333333
2018,Nevada,,3034392,,4.383333333
2019,Nevada,,3080156,,4.15
2021,Nevada,,3143991,,6.833333333
2022,Nevada,,3177772,,5.2
2023,Nevada,,3194176,,5.141666667
2015,New Hampshire,,1330608,,3.391666667
2016,New Hampshire,,1334795,,2.883333333
2017,New Hampshire,,1342795,,2.808333333
2018,New Hampshire,,1356458,,2.625
2019,New Hampshire,,1359711,,2.575
2021,New Hampshire,,1388992,,3.408333333
2022,New Hampshire,,1395231,,2.275
2023,New Hampshire,,1402054,,2.166666667
2015,New Jersey,,8958013,,5.7
2016,New Jersey,,8944469,,4.941666667
2017,New Jersey,,9005644,,4.533333333
2018,New Jersey,,8908520,,4.008333333
2019,New Jersey,,8882190,,3.458333333
2021,New Jersey,,9267130,,6.708333333
2022,New Jersey,,9261699,,3.866666667
2023,New Jersey,,9290841,,4.416666667
2015,New Mexico,,2085109,,6.6
2016,New Mexico,,2081015,,6.75
2017,New Mexico,,2088070,,6.041666667
2018,New Mexico,,2095428,,4.925
2019,New Mexico,,2096829,,4.958333333
2021,New Mexico,,2115877,,7.066666667
2022,New Mexico,,2113344,,4.058333333
2023,New Mexico,,2114371,,3.75
2015,New York,,19795791,,5.233333333
2016,New York,,19745289,,4.875
2017,New York,,19849399,,4.633333333
2018,New York,,19542209,,4.1
2019,New York,,19453561,,3.858333333
2021,New York,,19835913,,7.091666667
2022,New York,,19677151,,4.325
2023,New York,,19571216,,4.208333333
2015,North Carolina,,10042802,,5.658333333
2016,North Carolina,,10146788,,5.1
2017,North Carolina,,10273419,,4.525
2018,North Carolina,,10383620,,3.991666667
2019,North Carolina,,10488084,,3.883333333
2021,North Carolina,,10551162,,4.883333333
2022,North Carolina,,10698973,,3.683333333
2023,North Carolina,,10835491,,3.458333333
2015,North Dakota,,756928,,2.783333333
2016,North Dakota,,757953,,3.1
2017,North Dakota,,755393,,2.608333333
2018,North Dakota,,760077,,2.408333333
2021,North Dakota,,774948,,3
2022,North Dakota,,779261,,2
2023,North Dakota,,783926,,1.883333333
2015,Ohio,,11613423,,4.95
2016,Ohio,,11614373,,5.075
2017,Ohio,,11658609,,4.966666667
2018,Ohio,,11689442,,4.5
2019,Ohio,,11689100,,4.175
2021,Ohio,,11780017,,5.158333333
2022,Ohio,,11756058,,3.991666667
2023,Ohio,,11785935,,3.525
2015,Oklahoma,,3911338,,4.291666667
2016,Oklahoma,,3923561,,4.658333333
2017,Oklahoma,,3930864,,4.033333333
2018,Oklahoma,,3943079,,3.291666667
2019,Oklahoma,,3956971,,3.125
2021,Oklahoma,,3986639,,4.033333333
2022,Oklahoma,,4019800,,3.041666667
2023,Oklahoma,,4053824,,3.216666667
2015,Oregon,,4028977,,5.466666667
2016,Oregon,,4093465,,4.75
2017,Oregon,,4142776,,4.058333333
2018,Oregon,,4190713,,4.041666667
2019,Oregon,,4217737,,3.725
2021,Oregon,,4246155,,5.15
2022,Oregon,,4240137,,3.916666667
2023,Oregon,,4233358,,3.708333333
2015,Pennsylvania,,12802503,,5.391666667
2016,Pennsylvania,,12784227,,5.341666667
2017,Pennsylvania,,12805537,,4.975
2018,Pennsylvania,,12807060,,4.416666667
2019,Pennsylvania,,12801989,,4.3
2021,Pennsylvania,,12964056,,5.925
2022,Pennsylvania,,12972008,,4.05
2023,Pennsylvania,,12961683,,3.408333333
2016,Rhode Island,,1056426,,5.241666667
2017,Rhode Island,,1059639,,4.508333333
2018,Rhode Island,,1057315,,4.033333333
2021,Rhode Island,,1095610,,5.516666667
2022,Rhode Island,,1093734,,3.166666667
2023,Rhode Island,,1095962,,2.941666667
2015,South Carolina,,4896146,,5.9
2016,South Carolina,,4961119,,4.916666667
2017,South Carolina,,5024369,,4.2
2018,South Carolina,,5084127,,3.375
2019,South Carolina,,5148714,,2.766666667
2021,South Carolina,,5190705,,3.941666667
2022,South Carolina,,5282634,,3.208333333
2023,South Carolina,,5373555,,2.95
2015,South Dakota,,858469,,3.05
2016,South Dakota,,865454,,3.016666667
2017,South Dakota,,869666,,3.05
2018,South Dakota,,882235,,2.791666667
2019,South Dakota,,884659,,2.766666667
2021,South Dakota,,895376,,2.616666667
2022,South Dakota,,909824,,1.991666667
2023,South Dakota,,919318,,2
2015,Tennessee,,6600299,,5.566666667
2016,Tennessee,,6651194,,4.758333333
2017,Tennessee,,6715984,,3.75
2018,Tennessee,,6770010,,3.5
2019,Tennessee,,6829174,,3.333333333
2021,Tennessee,,6975218,,4.466666667
2022,Tennessee,,7051339,,3.383333333
2023,Tennessee,,7126489,,3.291666667
2015,Texas,,27469114,,4.483333333
2016,Texas,,27862596,,4.65
2017,Texas,,28304596,,4.341666667
2018,Texas,,28701845,,3.9
2019,Texas,,28995881,,3.525
2021,Texas,,29527941,,5.641666667
2022,Texas,,30029572,,3.941666667
2023,Texas,,30503301,,3.95
2015,Utah,,2995919,,3.508333333
2016,Utah,,3051217,,3.35
2017,Utah,,3101833,,3.166666667
2018,Utah,,3161105,,2.916666667
2019,Utah,,3205958,,2.541666667
2021,Utah,,3337975,,2.758333333
2022,Utah,,3380800,,2.358333333
2023,Utah,,3417734,,2.641666667
2015,Vermont,,626042,,3.533333333
2016,Vermont,,624594,,3.125
2017,Vermont,,623657,,3.008333333
2018,Vermont,,626299,,2.483333333
2019,Vermont,,623989,,2.066666667
2021,Vermont,,645570,,3.583333333
2022,Vermont,,647064,,2.325
2023,Vermont,,647464,,2.008333333
2015,Virginia,,8382993,,4.366666667
2016,Virginia,,8411808,,4
2017,Virginia,,8470020,,3.666666667
2018,Virginia,,8517685,,3.008333333
2019,Virginia,,8535519,,2.758333333
2021,Virginia,,8642274,,3.85
2022,Virginia,,8683619,,2.758333333
2023,Virginia,,8715698,,2.85
2015,Washington,,7170351,,5.433333333
2016,Washington,,7288000,,5.225
2017,Washington,,7405743,,4.641666667
2018,Washington,,7535591,,4.425
2019,Washington,,7614893,,4.191666667
2021,Washington,,7738692,,5.241666667
2022,Washington,,7785786,,4.066666667
2023,Washington,,7812880,,4.075
2015,West Virginia,,1844128,,6.583333333
2016,West Virginia,,1831102,,6.091666667
2017,West Virginia,,1815857,,5.208333333
2018,West Virginia,,1805832,,5.166666667
2019,West Virginia,,1792147,,4.925
2021,West Virginia,,1782959,,5.15
2022,West Virginia,,1775156,,3.875
2023,West Virginia,,1770071,,3.908333333
2015,Wisconsin,,5771337,,4.425
2016,Wisconsin,,5778709,,3.908333333
2017,Wisconsin,,5795483,,3.258333333
2018,Wisconsin,,5813568,,2.975
2019,Wisconsin,,5822434,,3.208333333
2021,Wisconsin,,5895908,,3.858333333
2022,Wisconsin,,5892539,,2.891666667
2023,Wisconsin,,5910955,,3.05
2015,Wyoming,,586107,,4.208333333
2016,Wyoming,,585501,,5.333333333
2017,Wyoming,,579315,,4.325
2018,Wyoming,,577737,,4.058333333
2019,Wyoming,,578759,,3.708333333
2021,Wyoming,,578803,,4.541666667
2022,Wyoming,,581381,,3.416666667
2023,Wyoming,,584057,,2.916666667
